City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Aksu,76,CN,1627492231,28,41.1231,80.2644,87.85,8.08
Ponta Delgada,40,PT,1627492651,78,37.7333,-25.6667,74.12,13.8
Guerrero Negro,0,MX,1627492651,61,27.9769,-114.0611,77.83,11.14
Buta,92,CD,1627492652,86,2.7858,24.73,72.52,2.44
Kwinana,85,AU,1627492652,83,-32.25,115.7667,59.29,26.17
Margate,27,GB,1627492111,56,51.3813,1.3862,68.7,7.0
Ust-Nera,15,RU,1627492560,83,64.5667,143.2,39.79,6.33
Port Blair,100,IN,1627492200,86,11.6667,92.75,82.02,18.45
Santa Isabel Rio Negro,100,BR,1627492653,52,-0.4139,-65.0192,90.14,1.41
Datong,88,CN,1627492653,76,40.0936,113.2914,69.62,2.86
Santa Lucía,75,ES,1627492653,64,27.9117,-15.5407,69.94,29.93
Saint-Pierre,100,RE,1627492144,54,-21.3393,55.4781,73.08,13.8
Iskateley,100,RU,1627492117,81,67.6803,53.1512,45.7,5.28
Corinth,0,GR,1627492551,35,37.9407,22.9573,96.69,4.94
Hof,20,DE,1627492654,70,50.3167,11.9167,70.95,12.66
Arman',85,RU,1627492654,62,59.7,150.1667,50.54,10.92
Kirovskiy,83,RU,1627492654,80,45.0917,133.5136,73.0,4.43
San Joaquin,1,US,1627492655,48,37.9333,-121.3011,90.48,8.05
Bertoua,100,CM,1627492655,86,4.5833,13.6833,72.32,2.53
Erzin,0,TR,1627492656,32,36.9559,36.2,91.0,5.39
Manono,30,CD,1627492656,30,-7.3,27.4167,81.28,1.14
Mandalgovi,66,MN,1627492656,51,45.7625,106.2708,67.95,3.53
Kimbe,98,PG,1627492657,91,-5.5502,150.1429,75.85,3.85
San Policarpo,98,PH,1627492494,83,12.1791,125.5072,80.35,5.59
Brae,97,GB,1627492340,93,60.3964,-1.353,55.31,11.9
Ndjolé,87,GA,1627492636,54,-0.1783,10.7649,84.42,5.99
Dunedin,50,NZ,1627492210,65,-45.8742,170.5036,49.8,8.01
Naze,29,JP,1627492125,90,28.3667,129.4833,77.25,7.99
Ayan,99,RU,1627492658,96,56.45,138.1667,57.97,14.29
Port Jervis,2,US,1627492658,62,41.3751,-74.6927,80.73,5.17
Gukovo,73,RU,1627492658,33,48.0531,39.9311,78.44,4.61
Houston,20,US,1627492464,62,29.7633,-95.3633,94.08,1.99
Kalasin,100,TH,1627492659,99,16.5,103.5,82.06,10.63
Kununurra,77,AU,1627492210,83,-15.7667,128.7333,67.98,0.0
Karasburg,0,NA,1627492659,32,-28.0167,18.75,54.5,12.24
Vilcún,0,CL,1627492660,50,-38.65,-72.2333,52.54,3.53
Labuhan,15,ID,1627492145,79,-6.8844,112.2051,74.89,9.64
The Valley,20,AI,1627492660,66,18.217,-63.0578,86.14,17.27
Aga,0,EG,1627492660,54,30.9415,31.2915,82.04,12.75
Nome,90,US,1627492163,93,64.5011,-165.4064,51.87,18.41
Maciel,5,AR,1627492465,42,-32.4557,-60.8874,52.99,13.8
Kloulklubed,91,PW,1627492125,75,7.0419,134.2556,77.5,4.5
Linfen,66,CN,1627492661,67,36.0889,111.5189,78.42,4.7
Oussouye,100,SN,1627492661,58,12.485,-16.5469,87.89,8.28
Tabas,0,IR,1627492103,11,33.5959,56.9244,92.16,12.62
Kahului,40,US,1627492087,90,20.8947,-156.47,76.84,14.97
Teya,100,RU,1627492662,79,60.3778,92.6267,55.6,2.01
Odienné,100,CI,1627492662,95,9.51,-7.5692,71.91,3.04
Juneau,40,US,1627492663,83,58.3019,-134.4197,62.6,5.75
São José da Coroa Grande,16,BR,1627492379,66,-8.8978,-35.1478,79.41,7.76
Brigantine,90,US,1627492663,67,39.4101,-74.3646,89.33,8.05
The Pas,2,CA,1627492499,40,53.8251,-101.2541,71.51,13.44
Acapulco de Juárez,75,MX,1627492203,66,16.8634,-99.8901,85.82,3.44
Padang,99,ID,1627492142,87,-0.9492,100.3543,77.05,2.77
San Jose,75,US,1627492172,53,37.3394,-121.895,85.08,0.0
Martinsville,1,US,1627492664,45,36.6915,-79.8725,91.58,8.05
Shitanjing,24,CN,1627492664,37,39.2342,106.3439,73.98,5.48
Dondo,11,MZ,1627492664,71,-19.6094,34.7431,65.71,5.82
Qaqortoq,92,GL,1627492665,74,60.7167,-46.0333,54.1,5.08
Laas,99,IT,1627492449,93,46.6166,10.7002,71.62,4.05
La Rioja,6,ES,1627492550,48,42.25,-2.5,74.98,8.08
Ahipara,24,NZ,1627492102,91,-35.1667,173.1667,53.89,3.09
Tete,20,MZ,1627492665,53,-16.1564,33.5867,71.69,5.75
Balsas,0,BR,1627492666,20,-7.5325,-46.0356,99.27,3.76
Celestún,6,MX,1627492666,60,20.8667,-90.4,87.15,4.34
Tazovsky,23,RU,1627492261,88,67.4667,78.7,48.52,9.69
Verkhnetulomskiy,100,RU,1627492666,65,68.6073,31.7962,48.33,3.33
Tongliao,99,CN,1627492267,73,43.6125,122.2653,75.22,1.48
Port Said,0,EG,1627492667,72,31.2565,32.2841,82.81,19.66
Guymon,1,US,1627492667,31,36.6828,-101.4816,96.48,12.66
River Falls,95,US,1627492668,67,44.8614,-92.6238,85.3,10.94
Manta,90,EC,1627492668,83,-0.95,-80.7333,76.78,4.61
Soeng Sang,100,TH,1627492668,93,14.4264,102.4606,75.24,5.32
Nuoro,2,IT,1627492668,19,40.3211,9.3297,81.66,8.59
Hirara,54,JP,1627492613,86,24.8,125.2833,82.18,2.89
Āreka,100,ET,1627492669,92,7.0667,37.7,59.95,3.74
Beyla,100,GN,1627492669,95,8.6833,-8.6333,69.58,2.93
Nemuro,47,JP,1627492670,99,43.3236,145.575,65.66,6.82
Semīrom,17,IR,1627492670,19,31.4167,51.5667,73.44,15.1
Linxia Chengguanzhen,40,CN,1627492670,54,35.6003,103.2064,60.39,6.42
Shahr-e Bābak,98,IR,1627492671,12,30.1165,55.1186,80.2,16.55
Vila Velha,0,BR,1627491961,65,-20.3297,-40.2925,79.97,13.8
Sinnamary,34,GF,1627492671,76,5.3833,-52.95,82.56,10.58
Luancheng,100,CN,1627492671,86,37.8792,114.6517,77.16,6.26
Taoudenni,24,ML,1627492486,10,22.6783,-3.9836,113.52,9.17
Dubbo,9,AU,1627492672,93,-32.25,148.6167,42.93,5.75
Jurm,0,AF,1627492672,40,36.8648,70.8342,72.68,3.29
Camaná,52,PE,1627492254,73,-16.6228,-72.7111,64.65,11.21
Balkhash,2,KZ,1627492672,32,46.844,74.9804,74.07,9.37
Tambura,96,SS,1627492673,92,5.6,27.4667,70.63,2.19
Bemidji,1,US,1627492609,57,47.4736,-94.8803,82.15,16.11
Shilka,39,RU,1627492673,93,51.85,116.0333,58.44,1.86
Lompoc,90,US,1627492099,88,34.6391,-120.4579,71.74,6.91
Daura,100,NG,1627492674,80,11.5538,11.4085,74.01,5.88
Businga,100,CD,1627492674,76,3.3333,20.8833,76.5,3.38
Esmeralda,65,CU,1627492674,63,21.8525,-78.1169,90.64,10.36
Watertown,90,US,1627492598,69,42.3709,-71.1828,75.07,4.0
Dembī Dolo,100,ET,1627492675,97,8.5333,34.8,56.71,2.28
La Reforma,4,MX,1627492675,59,25.0833,-108.05,94.14,2.73
Toila,87,EE,1627492675,69,59.4236,27.5025,72.73,3.56
Östersund,20,SE,1627492491,53,63.1792,14.6357,73.85,6.91
Storforshei,20,NO,1627492676,37,66.4043,14.5233,82.18,6.91
Vestmanna,75,FO,1627492269,100,62.1564,-7.1664,52.72,6.91
